book_name,status,is_ebook
Discovering Physical Geography,Completed - 00 Order Fullfilled,False
Loose Leaf for Thermodynamics: An Engineering Approach,Completed - 04 Dis: Need proof of purchase from student,False
Globalization: A Very Short Introduction,Completed - 04 Dis: Need proof of purchase from student,False
Stuffed and Starved,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Medical Language Accelerated,Not Specified,False
Media & Culture An Introduction to Mass Communication,Completed - 04 Dis: Need proof of purchase from student,False
LaunchPad for Media & Culture (1-Term Access) An Introduction to Mass Communication,Completed - 04 Dis: Need proof of purchase from student,False
Comparative Politics [RENTAL EDITION],Completed - 04 Dis: Need proof of purchase from student,False
ENVIRONMENTAL GEOLOGY,Completed - 04 Dis: Need proof of purchase from student,False
Connect Master Principles of Economics 1-Semester Online Access,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
A Smarter Way to Learn Python,Completed - 04 Dis: Need proof of purchase from student,False
Strategic Management,Completed - 04 Dis: Need proof of purchase from student,False
InteDashboard (6-month license for unlimited courses),Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
CliftonStrengths for Students Access Code (CODESQAC),Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Mirror for Humanity: A Concise Introduction to Cultural Anthropology,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Organizational Behavior Managing People and Organizations,Completed - 04 Dis: Need proof of purchase from student,False
General Chemistry Lab Manual AY22,Completed - 04 Dis: Need proof of purchase from student,False
Motor Learning and Performance,Completed - 04 Dis: Need proof of purchase from student,False
Mastering Chemistry with eText Stand Alone Access Card for Chemistry: The Central Science for [MIAMI UNIVERSITY OXFORD],Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
"Biology, 2nd Edition",Completed - 04 Dis: Need proof of purchase from student,False
Mastering Chemistry with eText Stand Alone Access Card for Chemistry: The Central Science for [MIAMI UNIVERSITY OXFORD],Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Principles of American Journalism: An Introduction,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Dimensions of Human Behavior,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Facilitating Financial Health,Completed - 04 Dis: Need proof of purchase from student,False
Financial Capability and Asset Building in Vulnerable Households Theory and Practice,Completed - 04 Dis: Need proof of purchase from student,False
My Grandmother's Hands,Completed - 04 Dis: Complete (Available at Bookshare.org),False
How to Be an Antiracist,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Conceptual Physical Science,Completed - 04 Dis: Need proof of purchase from student,False
The Making of a Story,Completed - 00 Order Fullfilled,False
Criminal Evidence,Completed - 00 Order Fullfilled,False
"Contemporary Business, 18th Edition (Loose-leaf w/ WileyPLUS 1 Semester)",Completed - 04 Dis: Need proof of purchase from student,False
The Police in America,Completed - 04 Dis: Need proof of purchase from student,False
Readings for Diversity and Social Justice,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Fundamentals of Research in Criminology and Criminal Justice,Completed - 04 Dis: Complete (Available at Bookshare.org),False
,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Forty Studies that Changed Psychology [RENTAL EDITION],Completed - 04 Dis: Need proof of purchase from student,False
Dimensions of Human Behavior,Completed - 04 Dis: Complete (Available at Bookshare.org),False
McKenzie's An Introduction to Community & Public Health,Completed - 04 Dis: Complete (Available at Bookshare.org),False
World Architecture: A Cross-Cultural History,Hold: Supervisor Needs to Review,False
Autodesk Inventor 2020 and Engineering Graphics,Completed - 00 Order Fullfilled,False
Consumer Behavior and Insights,Completed - 04 Dis: Need proof of purchase from student,False
Black Diamond Queens: African American Women and Rock and Roll,Not Specified,False
Health Communication in the 21st Century,Not Specified,False
Loose Leaf for M: Information Systems,Completed - 00 Order Fullfilled,False
Organizational Behavior Managing People and Organizations,Completed - 00 Order Fullfilled,False
Applied Mechanics for Engineering Technology,Completed - 04 Dis: Need proof of purchase from student,False
All You Need to Know About the Music Business,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Organizational Behavior Managing People and Organizations,Completed - 04 Dis: Need proof of purchase from student,False
You Majored in What? : Designing Your Path from Chaos to Career : Revised & Updated (RED),Completed - 00 Order Fullfilled,False
Introduction to Physical Hydrology,Completed - 00 Order Fullfilled,False
Sustainable Marketing,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
ECO 405 Miami University (CPID 863811),Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
"Manias, Panics, and Crashes A History of Financial Crises, Seventh Edition",Completed - 00 Order Fullfilled,False
Felipe Alou: Desde los valles a las montañas,01 Prep: Need to Scan - unavailable,False
Felipe Alou: Desde los valles a las montañas,01 Prep: Need to Scan - unavailable,False
The Girl With All the Gifts,Completed - 00 Order Fullfilled,False
Engineering with Excel,Completed - 00 Order Fullfilled,False
Strategic Sport Communication,Completed - 04 Dis: Need proof of purchase from student,False
Contemporary Leadership in Sport Organizations 2nd Edition With HKPropel Access,Completed - 04 Dis: Need proof of purchase from student,False
Writing and Revising & HM ENG 111 + 109 Rhethawks Composition,Completed - 04 Dis: Need proof of purchase from student,False
LaunchPad for Media & Culture (1-Term Access) An Introduction to Mass Communication,Completed - 04 Dis: Need proof of purchase from student,False
Media & Culture An Introduction to Mass Communication,Completed - 04 Dis: Need proof of purchase from student,False
LaunchPad for Media & Culture (1-Term Access) An Introduction to Mass Communication,Completed - 04 Dis: Need proof of purchase from student,False
Warm Bodies : A Novel,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Rot & Ruin,Completed - 04 Dis: Complete (Available at Bookshare.org),False
World War Z,Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Walking Dead 1: Days Gone Bye,Completed - 04 Dis: Need proof of purchase from student,False
Communication Sciences and Disorders: From Science to Clinical Practice,Completed - 04 Dis: Need proof of purchase from student,False
Writing and Revising & HM ENG 111 + 109 Rhethawks Composition,Completed - 04 Dis: Need proof of purchase from student,False
Fundamentals of Financial Management,Completed - 04 Dis: Need proof of purchase from student,False
The Only Grant-Writing Book You'll  Ever Need,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Introduction to Interdisciplinary Studies,Completed - 04 Dis: Complete (Available at Bookshare.org),False
"Facetas, 5th Edition Student Textbook & Media Code",Completed - 04 Dis: Need proof of purchase from student,False
Global Aging,Completed - 04 Dis: Need proof of purchase from student,False
Your House Will Pay,Completed - 04 Dis: Complete (Available at Bookshare.org),False
HOUSE ON MANGO STREET,Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Vanishing Half,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Little Fires Everywhere,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Passing,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Essential Cell Biology,Completed - 04 Dis: Need proof of purchase from student,False
"Bundle: Financial & Managerial Accounting, Loose-Leaf Version, 14th + Cengagenowv2, 2 Terms Printed",Completed - 00 Order Fullfilled,False
Essentials of Contemporary Management,Completed - 00 Order Fullfilled,False
Understanding Business,Completed - 04 Dis: Need proof of purchase from student,False
Strategic Sport Communication,Completed - 04 Dis: Need proof of purchase from student,False
Writing and Revising & HM ENG 111 + 109 Rhethawks Composition,Completed - 04 Dis: Need proof of purchase from student,False
Silence : A Thirteenth-Century French Romance,Completed - 00 Order Fullfilled,False
"AP Stylebook, 55th Edition 2020-2021",Completed - 04 Dis: Need proof of purchase from student,False
Public Relations Campaigns,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Policy Paradox: The Art of Political Decision Making (Third Edition),Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Fashion Industry and Its Careers,Completed - 04 Dis: Need proof of purchase from student,False
Nudge: The Final Edition (Revised),Completed - 04 Dis: Complete (Available at Bookshare.org),False
"Introduction to Chemical Engineering: Tools for Today and Tomorrow, 5th Edition",Completed - 04 Dis: Need proof of purchase from student,False
Engineering with Excel,Completed - 04 Dis: Need proof of purchase from student,False
Standing Room Only: Marketing Insights for Engaging Performing Arts Audiences (Second Edition),Completed - 04 Dis: Need proof of purchase from student,False
Invitation to the Party,Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Fashion Industry and Its Careers,Completed - 04 Dis: Need proof of purchase from student,False
Themes of Contemporary Art Visual Art After 1980,Hold: Supervisor Needs to Review,False
CREATING CULTURES OF THINKING,Completed - 04 Dis: Complete (Available at Bookshare.org),False
"Microeconomics, Student Value Edition Plus MyLab Economics with Pearson eText -- Access Card Package",Completed - 04 Dis: Need proof of purchase from student,False
Strategic Sport Communication,Completed - 04 Dis: Need proof of purchase from student,False
Survey of Accounting,Completed - 04 Dis: Need proof of purchase from student,False
"Strategic Writing: Multimedia Writing for Public Relations, Advertising, and More",Completed - 04 Dis: Complete (Available at Bookshare.org),False
LaunchPad for Media & Culture (1-Term Access) An Introduction to Mass Communication,Completed - 04 Dis: Need proof of purchase from student,False
Loose Leaf for M: Information Systems,Completed - 04 Dis: Need proof of purchase from student,False
"AP Stylebook, 55th Edition 2020-2021",Completed - 04 Dis: Need proof of purchase from student,False
Connect Master Principles of Economics 1-Semester Online Access,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Queer: A Graphic History,Completed - 00 Order Fullfilled,False
General Chemistry 145 lab manual AY22,Completed - 04 Dis: Need proof of purchase from student,False
Mastering Chemistry with eText Stand Alone Access Card for Chemistry: The Central Science for [MIAMI UNIVERSITY OXFORD],Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
The Ascent of Money A Financial History of the World,Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Panic of 1907 Lessons Learned from the Market's Perfect Storm,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Irrational Exuberance,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Devil Take the Hindmost:  A History of Financial Speculation,Completed - 04 Dis: Complete (Available at Bookshare.org),False
This Time Is Different,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Miami OH: Loose Leaf Marketing the Core; Connect Access Card,Completed - 04 Dis: Need proof of purchase from student,False
Economics of Strategy,Completed - 04 Dis: Complete (Available at Bookshare.org),False
"Microeconomics, Student Value Edition Plus MyLab Economics with Pearson eText -- Access Card Package",Completed - 04 Dis: Need proof of purchase from student,False
Cengage Unlimited 1 Term Printed Access Card,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Communication Sciences and Disorders: From Science to Clinical Practice,Completed - 04 Dis: Need proof of purchase from student,False
Writing and Revising & HM ENG 111 + 109 Rhethawks Composition,Completed - 04 Dis: Need proof of purchase from student,False
"Book Love: Developing Depth, Stamina, and Passion in Adolescent Readers",Completed - 00 Order Fullfilled,False
The Classic Fairy Tales,Completed - 04 Dis: Complete (Available at Bookshare.org),False
GREAT FAIRY TALE TRADITION,Completed - 04 Dis: Complete (Available at Bookshare.org),False
FEMINISM IS FOR EVERYBODY:PASSIONATE POLITICS,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Achieve for Principles of Microeconomics (1-Term Access) for Miami University,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Achieve for Principles of Microeconomics (1-Term Access) for Miami University,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Facilitating Financial Health,Completed - 00 Order Fullfilled,False
Global Sourcing in the Textile and Apparel Industry,Completed - 04 Dis: Need proof of purchase from student,False
"The Visible Self Global Perspectives on Dress, Culture and Society",Completed - 04 Dis: Need proof of purchase from student,False
Psychological Science,Completed - 04 Dis: Need proof of purchase from student,False
Human Biology,Completed - 04 Dis: Need proof of purchase from student,False
Selling: Building Partnerships,Completed - 04 Dis: Need proof of purchase from student,False
Images of Myths in Classical Antiquity,Completed - 00 Order Fullfilled,False
MyLab Statistics with Pearson eText -- Standalone Access Card -- for Business Statistics,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Physics for Scientists and Engineers: A Strategic Approach with Modern Physics,Completed - 04 Dis: Need proof of purchase from student,False
Ludwig Wittgenstein : The Duty of Genius,Completed - 00 Order Fullfilled,False
Integrated Korean Workbook,01 Prep: Requested files from Publisher,False
Integrated Korean,01 Prep: Requested files from Publisher,False
Principles of Microeconomics,Completed - 04 Dis: Need proof of purchase from student,False
"Persuasion: Integrating Theory, Research, and Practice 4/e",Completed - 04 Dis: Need proof of purchase from student,False
Psychological Science,Completed - 04 Dis: Need proof of purchase from student,False
"Persuasion: Integrating Theory, Research, and Practice 4/e",Completed - 04 Dis: Need proof of purchase from student,False
"Empowerment Series: Social Welfare Policy and Social Programs, Updated (Revised)",Completed - 04 Dis: Complete (Available at Bookshare.org),False
Essential Environment,Completed - 04 Dis: Need proof of purchase from student,False
Psychological Science,Completed - 04 Dis: Need proof of purchase from student,False
Reading Revealed,01 Prep: Requested files from Publisher,False
Behavioral Neuroscience,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Incognito,Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Dream-Keepers Successful Teachers of African American Children,Completed - 04 Dis: Need proof of purchase from student,False
"Sight, Sound, Motion: Applied Media Aesthetics 8th Edition",Completed - 04 Dis: Complete (Available at Bookshare.org),False
"AP Stylebook, 55th Edition 2020-2021",Completed - 04 Dis: Need proof of purchase from student,False
Social Media and Music: The Digital Field of Cultural Production,Hold: Supervisor Needs to Review,False
"AP Stylebook, 55th Edition 2020-2021",Completed - 04 Dis: Need proof of purchase from student,False
Family Theories,Completed - 04 Dis: Complete (Available at Bookshare.org),False
"GLOBAL (with GLOBAL Online, 1 term (6 months) Printed Access Card)",Completed - 04 Dis: Need proof of purchase from student,False
Introduction to Physical Hydrology,Completed - 04 Dis: Need proof of purchase from student,False
Engineering with Excel,Completed - 04 Dis: Need proof of purchase from student,False
The Fashion Industry and Its Careers,Completed - 04 Dis: Need proof of purchase from student,False
The Fashion Industry and Its Careers,Completed - 04 Dis: Need proof of purchase from student,False
"China's Geography Globalization and the Dynamics of Political, Economic, and Social Change",Completed - 04 Dis: Need proof of purchase from student,False
General Chemistry 145 lab manual AY22,Completed - 00 Order Fullfilled,False
Cengage Unlimited 1 Term Printed Access Card,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Exploring Art,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Top Hat 4 Month Subscription,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
MyLab Statistics with Pearson eText -- Standalone Access Card -- for Business Statistics,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Fundamentals of Financial Management,Completed - 04 Dis: Need proof of purchase from student,False
When Stars Are Scattered,Completed - 00 Order Fullfilled,False
The Instant Economist Everything You Need to Know About How the Economy Works,Completed - 00 Order Fullfilled,False
The Instant Economist Everything You Need to Know About How the Economy Works,Completed - 00 Order Fullfilled,False
The Instant Economist Everything You Need to Know About How the Economy Works,Completed - 00 Order Fullfilled,False
The Caucasian Chalk Circle,Completed - 00 Order Fullfilled,False
"Exceptional Lives Practice, Progress, & Dignity in Today's Schools",Completed - 00 Order Fullfilled,False
Reimagining Special Education,Completed - 00 Order Fullfilled,False
Japan In The 21st Century,Completed - 00 Order Fullfilled,False
The Mothman Prophecies A True Story,Completed - 00 Order Fullfilled,False
Teacher Leadership for Social Justice: Building a Curriculum for Liberation (Second Edition),Completed - 04 Dis: Need proof of purchase from student,False
Teacher Leadership for Social Justice: Building a Curriculum for Liberation (Second Edition),Completed - 04 Dis: Need proof of purchase from student,False
Teacher Leadership for Social Justice: Building a Curriculum for Liberation (Second Edition),Completed - 04 Dis: Need proof of purchase from student,False
"Nellie Bly : Daredevil, Reporter, Feminist",01 Prep: Need to Scan - unavailable,False
"Nellie Bly : Daredevil, Reporter, Feminist",01 Prep: Need to Scan - unavailable,False
Grass,Completed - 04 Dis: Need proof of purchase from student,False
Grass,Completed - 04 Dis: Need proof of purchase from student,False
Stukent-Digital Marketing Essentials/ Mimic Pro Bundle,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Adobe Photoshop CC 2020: The Professional Portfolio Series,01 Prep: Requested files from Publisher,False
Reimagining Special Education,Completed - 00 Order Fullfilled,False
Reimagining Special Education,Completed - 00 Order Fullfilled,False
Reimagining Special Education,Completed - 00 Order Fullfilled,False
Fun Home : A Family Tragicomic,Completed - 00 Order Fullfilled,False
Queer: A Graphic History,Completed - 00 Order Fullfilled,False
The Unwomanly Face of War An Oral History of Women in World War II,Completed - 00 Order Fullfilled,False
"Principles of Economics: COVID-19 Update (with Ebook, Smartwork, InQuizitive, and Videos)",Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
"LL: Principles of Economics: COVID-19 Update (Ebook, Smartwork, InQuizitive, and Videos)",Completed - 04 Dis: Complete (Available at Bookshare.org),False
Miami OH: Loose Leaf Marketing the Core; Connect Access Card,Completed - 04 Dis: Need proof of purchase from student,False
Power in Movement: Social Movements and Contentious Politics,Completed - 04 Dis: Need proof of purchase from student,False
Fundamentals of Biochemistry Fifth Edition WileyPLUS Next Gen Card with Binder Ready Version Set 1 Semester,Completed - 04 Dis: Need proof of purchase from student,False
Business Statistics Student Value Edition Plus MyLab Statistics with Pearson eText,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Le Vice-Consul,Completed - 04 Dis: Need proof of purchase from student,False
Du Cote De Chez Swann,Completed - 04 Dis: Need proof of purchase from student,False
Le Temps Retrouve,Completed - 04 Dis: Need proof of purchase from student,False
"In Search of Lost Time, Volume VI: Time Regained",Completed - 04 Dis: Need proof of purchase from student,False
"Three Novels Molloy, Malone Dies, The Unnamable",Completed - 04 Dis: Need proof of purchase from student,False
Film Noir,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Abuse in Society,01 Prep: Need to Scan - unavailable,False
Abuse in Society,01 Prep: Need to Scan - unavailable,False
Abuse in Society,01 Prep: Need to Scan - unavailable,False
MyLab Statistics with Pearson eText -- Standalone Access Card -- for Business Statistics,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Fundamentals of Financial Management,Completed - 04 Dis: Need proof of purchase from student,False
S.,Completed - 00 Order Fullfilled,False
"Swann's Way In Search of Lost Time, Volume 1 (Penguin Classics Deluxe Edition)",Completed - 04 Dis: Complete (Available at Bookshare.org),False
The 7 Habits of Highly Effective People,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Contemporary Sport Management,Completed - 04 Dis: Need proof of purchase from student,False
LaunchPad for Media & Culture (1-Term Access) An Introduction to Mass Communication,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Writing and Revising & HM ENG 111 + 109 Rhethawks Composition,Completed - 00 Order Fullfilled,False
UNDERSTANDING EARTH                                                   ,Completed - 04 Dis: Need proof of purchase from student,False
Water Law,Completed - 01 Prep: Need to Scan - unavailable,False
A Reason to Teach,Completed - 04 Dis: Need proof of purchase from student,False
Business Statistics Plus MyLab Statistics with Pearson eText -- Access Card Package,Completed - 04 Dis: Need proof of purchase from student,False
"No More Look Up the List"" Vocabulary Instruction""",Completed - 04 Dis: Need proof of purchase from student,False
"No More Look Up the List"" Vocabulary Instruction""",Completed - 04 Dis: Need proof of purchase from student,False
No More Teaching a Letter a Week,Completed - 04 Dis: Need proof of purchase from student,False
No More Teaching a Letter a Week,Completed - 04 Dis: Need proof of purchase from student,False
No More Phonics and Spelling Worksheets,Completed - 04 Dis: Need proof of purchase from student,False
No More Phonics and Spelling Worksheets,Completed - 04 Dis: Need proof of purchase from student,False
Fundamentals of Biochemistry Fifth Edition WileyPLUS Next Gen Student Package 1 Semester,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Achieve Essentials for Biochemistry (1-Term Access),Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
"Diagnostic and Statistical Manual of Mental Disorders, (DSM-5)",Completed - 04 Dis: Complete (Available at Bookshare.org),False
Becoming Ms. Burton,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Creative Community Organizing,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Empowerment Series: Generalist Practice with Organizations and Communities,Completed - 04 Dis: Complete (Available at Bookshare.org),False
An Introduction to Group Work Practice,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Dirt,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Principles of American Journalism: An Introduction,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Modified Mastering Physics with Pearson eText -- Standalone Access Card -- for College Physics A Strategic Approach,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
College Physics: A Strategic Approach,Completed - 04 Dis: Need proof of purchase from student,False
Art and Myth in Ancient Greece,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Kindle Book: Taking Risks (B004LDLANI),Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families Stories from Rwanda,Completed - 04 Dis: Complete (Available at Bookshare.org),False
First They Killed My Father: A Daughter of Cambodia Remembers,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Ordinary Men,Completed - 04 Dis: Complete (Available at Bookshare.org),False
They Can Live in the Desert but Nowhere Else,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Criminal Justice Today An Introductory Text for the 21st Century,Completed - 04 Dis: Need proof of purchase from student,False
"Criminal Courts Structure, Process, and Issues",Completed - 04 Dis: Complete (Available at Bookshare.org),False
Strategic Sport Communication,Completed - 04 Dis: Need proof of purchase from student,False
The Bedford Introduction to Drama,Completed - 04 Dis: Need proof of purchase from student,False
"World Politics Interests, Interactions, Institutions",Completed - 00 Order Fullfilled,False
"Psychopharmacology Drugs, the Brain, and Behavior",Completed - 04 Dis: Complete (Available at Bookshare.org),False
MASS MEDIA LAW,Completed - 04 Dis: Need proof of purchase from student,False
MyMathLab -- Standalone Access Card (1 Year or Course Duration),Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Miami OH: Loose Leaf Marketing the Core; Connect Access Card,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Writing and Revising & HM ENG 111 + 109 Rhethawks Composition,Completed - 04 Dis: Need proof of purchase from student,False
Achieve for Principles of Microeconomics (1-Term Access) for Miami University,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
"CengageNOW?v2, 1 term Printed Access Card for Mowen/Hansen/Heitger?s Managerial Accounting: The Cornerstone of Business Decision-Making, 7th",Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
Cengage Unlimited 4 months Access Code,Completed - 04 Dis: Not a textbook- Access Card (E-Text),True
for the record Vol 2,Completed - 04 Dis: Complete (Available at Bookshare.org),False
America: A Narrative History (Eleventh Edition) (Vol. Volume 2) Eleventh Edition,Completed - 04 Dis: Complete (Available at Bookshare.org),False
Invitation to Oceanography,Completed - 04 Dis: Need proof of purchase from student,False
Strategic Management,Completed - 04 Dis: Need proof of purchase from student,False
"Foundations of Speech and Hearing: Anatomy and Physiology, Second Edition",Completed - 00 Order Fullfilled,False
"Archaeology Essentials Theories, Methods, and Practice",Completed - 04 Dis: Need proof of purchase from student,False
Ancient Cahokia and the Mississippians,Completed - 04 Dis: Complete (Available at Bookshare.org),False
The Mothman Prophecies A True Story,Completed - 00 Order Fullfilled,False
General Chemistry 145 lab manual AY22,Completed - 04 Dis: Need proof of purchase from student,False
General Chemistry 145 lab manual AY22,Completed - 04 Dis: Need proof of purchase from student,False
General Chemistry 145 lab manual AY22,Completed - 04 Dis: Need proof of purchase from student,False
